Order ID,Ship Mode,Segment,Region,Product ID,Sales,Quantity,Discount,Profit
US-2015-150630,Standard Class,Consumer,East,FUR-FU-10004848,124.2,3,0.20%,15.525
US-2015-150630,Standard Class,Consumer,East,OFF-EN-10001509,3.264,2,0.20%,1.1016
US-2015-150630,Standard Class,Consumer,East,OFF-AR-10004042,86.304,6,0.20%,9.7092
US-2015-150630,Standard Class,Consumer,East,OFF-BI-10001525,6.858,6,0.70%,-5.715
US-2015-150630,Standard Class,Consumer,East,OFF-AR-10001683,15.76,2,0.20%,3.546
CA-2017-107727,Second Class,Home Office,Central,OFF-PA-10000249,29.472,3,0.20%,9.9468
CA-2016-117590,First Class,Corporate,Central,TEC-PH-10004977,1097.544,7,0.20%,123.4737
CA-2016-117590,First Class,Corporate,Central,FUR-FU-10003664,190.92,5,0.60%,-147.963
CA-2015-117415,Standard Class,Home Office,Central,OFF-EN-10002986,113.328,9,0.20%,35.415
CA-2015-117415,Standard Class,Home Office,Central,FUR-BO-10002545,532.3992,3,0.32%,-46.9764
CA-2015-117415,Standard Class,Home Office,Central,FUR-CH-10004218,212.058,3,0.30%,-15.147
CA-2015-117415,Standard Class,Home Office,Central,TEC-PH-10000486,371.168,4,0.20%,41.7564
CA-2017-120999,Standard Class,Corporate,Central,TEC-PH-10004093,147.168,4,0.20%,16.5564
CA-2016-101343,Standard Class,Corporate,West,OFF-ST-10003479,77.88,2,0%,3.894
CA-2017-139619,Standard Class,Corporate,South,OFF-ST-10003282,95.616,2,0.20%,9.5616
CA-2016-118255,First Class,Corporate,Central,TEC-AC-10000171,45.98,2,0%,19.7714
CA-2016-118255,First Class,Corporate,Central,OFF-BI-10003291,17.46,2,0%,8.2062
CA-2014-146703,Second Class,Consumer,Central,OFF-ST-10001713,211.96,4,0%,8.4784
CA-2016-169194,Standard Class,Consumer,East,TEC-AC-10002167,45,3,0%,4.95
CA-2016-169194,Standard Class,Consumer,East,TEC-PH-10003988,21.8,2,0%,6.104
CA-2015-115742,Standard Class,Consumer,Central,OFF-BI-10004410,38.22,6,0%,17.9634
CA-2015-115742,Standard Class,Consumer,Central,OFF-LA-10002762,75.18,6,0%,35.3346
CA-2015-115742,Standard Class,Consumer,Central,FUR-FU-10001706,6.16,2,0%,2.9568
CA-2015-115742,Standard Class,Consumer,Central,FUR-CH-10003061,89.99,1,0%,17.0981
CA-2016-105816,Standard Class,Corporate,East,OFF-FA-10000304,15.26,7,0%,6.2566
CA-2016-105816,Standard Class,Corporate,East,TEC-PH-10002447,1029.95,5,0%,298.6855
CA-2016-111682,First Class,Consumer,East,OFF-ST-10000604,208.56,6,0%,52.14
CA-2016-111682,First Class,Consumer,East,OFF-PA-10001569,32.4,5,0%,15.552
CA-2016-111682,First Class,Consumer,East,FUR-CH-10003968,319.41,5,0.10%,7.098
CA-2016-111682,First Class,Consumer,East,OFF-PA-10000587,14.56,2,0%,6.9888
CA-2016-111682,First Class,Consumer,East,TEC-AC-10002167,30,2,0%,3.3
CA-2016-111682,First Class,Consumer,East,OFF-BI-10001460,48.48,4,0.20%,16.362
CA-2016-111682,First Class,Consumer,East,OFF-AR-10001868,1.68,1,0%,0.84
CA-2015-135545,Standard Class,Consumer,West,TEC-AC-10004633,13.98,2,0%,6.1512
CA-2015-135545,Standard Class,Consumer,West,OFF-BI-10001078,25.824,6,0.20%,9.3612
CA-2015-135545,Standard Class,Consumer,West,OFF-PA-10003892,146.73,3,0%,68.9631
CA-2015-135545,Standard Class,Consumer,West,FUR-FU-10000397,79.76,4,0%,22.3328
US-2015-164175,Standard Class,Home Office,Central,FUR-CH-10001146,213.115,5,0.30%,-15.2225
CA-2014-106376,Standard Class,Corporate,West,OFF-AR-10002671,1113.024,8,0.20%,111.3024
CA-2014-106376,Standard Class,Corporate,West,TEC-PH-10002726,167.968,4,0.20%,62.988
CA-2016-119823,First Class,Consumer,South,OFF-PA-10000482,75.88,2,0%,35.6636
CA-2016-106075,Standard Class,Consumer,East,OFF-BI-10004654,4.616,1,0.20%,1.731
CA-2017-114440,Second Class,Consumer,Central,OFF-PA-10004675,19.05,3,0%,8.763
US-2015-134026,Standard Class,Consumer,South,FUR-CH-10000513,831.936,8,0.20%,-114.3912
US-2015-134026,Standard Class,Consumer,South,FUR-FU-10003708,97.04,2,0.20%,1.213
US-2015-134026,Standard Class,Consumer,South,OFF-ST-10004123,72.784,1,0.20%,-18.196
US-2017-118038,First Class,Corporate,Central,OFF-BI-10004182,1.248,3,0.80%,-1.9344
US-2017-118038,First Class,Corporate,Central,FUR-FU-10000260,9.708,3,0.60%,-5.8248
US-2017-118038,First Class,Corporate,Central,OFF-ST-10000615,27.24,3,0.20%,2.724
US-2014-147606,Second Class,Consumer,Central,FUR-FU-10003194,19.3,5,0.60%,-14.475
CA-2016-127208,First Class,Corporate,South,OFF-AP-10002118,208.16,1,0%,56.2032
CA-2016-127208,First Class,Corporate,South,OFF-BI-10002309,16.74,3,0%,8.0352
CA-2014-139451,Standard Class,Consumer,West,OFF-AR-10002053,14.9,5,0%,4.172
CA-2014-139451,Standard Class,Consumer,West,OFF-ST-10002370,21.39,1,0%,6.2031
CA-2015-149734,Standard Class,Corporate,South,OFF-EN-10000927,200.984,7,0.20%,62.8075
US-2017-119662,First Class,Home Office,Central,OFF-ST-10003656,230.376,3,0.20%,-48.9549
CA-2017-140088,Second Class,Consumer,South,FUR-CH-10000863,301.96,2,0%,33.2156
CA-2017-155558,Standard Class,Consumer,Central,TEC-AC-10001998,19.99,1,0%,6.7966
CA-2017-155558,Standard Class,Consumer,Central,OFF-LA-10000134,6.16,2,0%,2.9568
CA-2016-159695,Second Class,Home Office,Central,OFF-ST-10003442,158.368,7,0.20%,13.8572
CA-2016-109806,Standard Class,Corporate,West,OFF-AR-10004930,20.1,3,0%,6.633
CA-2016-109806,Standard Class,Corporate,West,TEC-PH-10004093,73.584,2,0.20%,8.2782
CA-2016-109806,Standard Class,Corporate,West,OFF-PA-10000304,6.48,1,0%,3.1104
CA-2015-149587,Second Class,Consumer,Central,OFF-PA-10003177,12.96,2,0%,6.2208
CA-2015-149587,Second Class,Consumer,Central,FUR-FU-10003799,53.34,3,0%,16.5354
CA-2015-149587,Second Class,Consumer,Central,OFF-BI-10002852,32.96,2,0%,16.1504
US-2017-109484,Standard Class,Home Office,West,OFF-BI-10004738,5.682,1,0.70%,-3.788
CA-2017-161018,Second Class,Home Office,East,FUR-FU-10000629,96.53,7,0%,40.5426
CA-2017-157833,First Class,Consumer,West,OFF-BI-10001721,51.312,3,0.20%,17.9592
CA-2016-149223,Standard Class,Corporate,Central,OFF-AP-10000358,77.88,6,0%,22.5852
CA-2016-158568,Standard Class,Home Office,Central,OFF-PA-10003256,64.624,7,0.20%,22.6184
CA-2016-158568,Standard Class,Home Office,Central,TEC-AC-10001767,95.976,3,0.20%,-10.7973
CA-2016-158568,Standard Class,Home Office,Central,OFF-BI-10002609,1.788,3,0.80%,-3.0396
CA-2016-129903,Second Class,Consumer,Central,OFF-PA-10004040,23.92,4,0%,11.7208
US-2015-156867,Standard Class,Consumer,West,TEC-AC-10001552,238.896,6,0.20%,-26.8758
US-2015-156867,Standard Class,Consumer,West,FUR-FU-10004006,102.36,3,0.20%,-3.8385
US-2015-156867,Standard Class,Consumer,West,OFF-BI-10002794,36.882,3,0.70%,-25.8174
CA-2017-119004,Standard Class,Consumer,South,TEC-AC-10003499,74.112,8,0.20%,17.6016
CA-2017-119004,Standard Class,Consumer,South,TEC-PH-10002844,27.992,1,0.20%,2.0994
CA-2017-119004,Standard Class,Consumer,South,OFF-AR-10000390,3.304,1,0.20%,1.0738
CA-2015-129476,Standard Class,Home Office,Central,TEC-AC-10000844,339.96,5,0.20%,67.992
CA-2017-146780,Standard Class,Corporate,East,FUR-FU-10001934,41.96,2,0%,10.9096
CA-2016-128867,Standard Class,Consumer,Central,OFF-AR-10000380,75.96,2,0%,22.788
CA-2016-128867,Standard Class,Consumer,Central,OFF-BI-10003981,27.24,6,0%,13.3476
CA-2014-115259,Second Class,Consumer,East,OFF-FA-10000621,40.096,14,0.20%,14.5348
CA-2014-115259,Second Class,Consumer,East,OFF-EN-10002600,4.72,2,0.20%,1.652
CA-2014-115259,Second Class,Consumer,East,OFF-PA-10004965,23.976,3,0.20%,7.4925
CA-2014-115259,Second Class,Consumer,East,OFF-EN-10002504,130.464,6,0.20%,44.0316
CA-2015-110457,Standard Class,Consumer,West,FUR-TA-10001768,787.53,3,0%,165.3813
US-2015-136476,Standard Class,Corporate,South,OFF-BI-10003650,157.794,1,0.70%,-115.7156
CA-2016-103730,First Class,Consumer,East,FUR-FU-10002157,47.04,3,0%,18.3456
CA-2016-103730,First Class,Consumer,East,OFF-BI-10003910,30.84,4,0%,13.878
CA-2016-103730,First Class,Consumer,East,OFF-ST-10000777,226.56,6,0%,63.4368
CA-2016-103730,First Class,Consumer,East,OFF-EN-10002500,115.02,9,0%,51.759
CA-2016-103730,First Class,Consumer,East,TEC-PH-10003875,68.04,7,0%,19.7316
US-2014-152030,Second Class,Home Office,Central,FUR-CH-10004063,600.558,3,0.30%,-8.5794
US-2014-134614,Standard Class,Consumer,Central,FUR-TA-10004534,617.7,6,0.50%,-407.682
US-2017-107272,Standard Class,Consumer,West,OFF-BI-10003274,2.388,2,0.70%,-1.8308
US-2017-107272,Standard Class,Consumer,West,OFF-ST-10002974,243.992,7,0.20%,30.499
US-2016-125969,Second Class,Home Office,West,FUR-CH-10001146,81.424,2,0.20%,-9.1602
US-2016-125969,Second Class,Home Office,West,FUR-FU-10003773,238.56,3,0%,26.2416
US-2017-164147,First Class,Corporate,East,TEC-PH-10002293,59.97,5,0.40%,-11.994
US-2017-164147,First Class,Corporate,East,OFF-PA-10002377,78.304,2,0.20%,29.364
US-2017-164147,First Class,Corporate,East,OFF-FA-10002780,21.456,9,0.20%,6.9732
CA-2016-145583,Standard Class,Consumer,West,OFF-PA-10001804,20.04,3,0%,9.6192
CA-2016-145583,Standard Class,Consumer,West,OFF-PA-10001736,35.44,1,0%,16.6568
CA-2016-145583,Standard Class,Consumer,West,OFF-AR-10001149,11.52,4,0%,3.456
CA-2016-145583,Standard Class,Consumer,West,OFF-FA-10002988,4.02,2,0%,1.9698
CA-2016-145583,Standard Class,Consumer,West,OFF-BI-10004781,76.176,3,0.20%,26.6616
CA-2016-145583,Standard Class,Consumer,West,OFF-SU-10001218,65.88,6,0%,18.4464
CA-2016-145583,Standard Class,Consumer,West,FUR-FU-10001706,43.12,14,0%,20.6976
CA-2016-110366,Second Class,Corporate,East,FUR-FU-10004848,82.8,2,0.20%,10.35
CA-2017-106180,Standard Class,Corporate,West,OFF-AR-10000940,8.82,3,0%,2.3814
CA-2017-106180,Standard Class,Corporate,West,OFF-EN-10004030,10.86,3,0%,5.1042
CA-2017-106180,Standard Class,Corporate,West,OFF-PA-10004327,143.7,3,0%,68.976
CA-2017-155376,Standard Class,Consumer,Central,OFF-AP-10001058,839.43,3,0%,218.2518
CA-2015-110744,Standard Class,Consumer,West,OFF-ST-10003656,671.93,7,0%,20.1579
CA-2014-110072,Standard Class,Home Office,East,FUR-FU-10000521,93.888,4,0.20%,12.9096
CA-2016-114489,Standard Class,Corporate,Central,TEC-PH-10000215,384.45,11,0%,103.8015
CA-2016-114489,Standard Class,Corporate,Central,TEC-PH-10001448,149.97,3,0%,5.9988
CA-2016-114489,Standard Class,Corporate,Central,FUR-CH-10000454,1951.84,8,0%,585.552
CA-2016-114489,Standard Class,Corporate,Central,OFF-BI-10002735,171.55,5,0%,80.6285
CA-2016-158834,First Class,Home Office,West,OFF-AP-10000326,157.92,5,0.20%,17.766
CA-2016-158834,First Class,Home Office,West,TEC-PH-10001254,203.184,2,0.20%,15.2388
CA-2015-124919,First Class,Corporate,West,OFF-PA-10001950,58.38,7,0%,26.271
CA-2015-124919,First Class,Corporate,West,OFF-PA-10002254,105.52,4,0%,48.5392
CA-2015-124919,First Class,Corporate,West,OFF-ST-10001590,80.88,6,0%,21.0288
CA-2015-118948,Standard Class,Home Office,West,OFF-AR-10001547,6.63,3,0%,1.7901
CA-2014-104269,Second Class,Consumer,West,FUR-CH-10004063,457.568,2,0.20%,51.4764
CA-2016-114104,Standard Class,Consumer,Central,OFF-LA-10002475,14.62,2,0%,6.8714
CA-2016-114104,Standard Class,Consumer,Central,TEC-PH-10004536,944.93,7,0%,236.2325
CA-2016-162733,First Class,Consumer,West,OFF-PA-10002751,5.98,1,0%,2.691
CA-2015-119697,Second Class,Consumer,East,TEC-AC-10003657,54.384,2,0.20%,1.3596
CA-2016-154508,Standard Class,Consumer,West,OFF-EN-10001990,28.4,5,0%,13.348
CA-2016-113817,Standard Class,Consumer,West,OFF-BI-10004002,27.68,2,0.20%,9.688
CA-2014-139892,Standard Class,Consumer,Central,OFF-AR-10004441,9.936,3,0.20%,2.7324
CA-2014-139892,Standard Class,Consumer,Central,TEC-MA-10000822,8159.952,8,0.40%,-1359.992
CA-2014-139892,Standard Class,Consumer,Central,OFF-ST-10000991,275.928,3,0.20%,-58.6347
CA-2014-139892,Standard Class,Consumer,Central,FUR-CH-10004287,1740.06,9,0.30%,-24.858
CA-2014-139892,Standard Class,Consumer,Central,OFF-AR-10002656,32.064,6,0.20%,6.8136
CA-2014-139892,Standard Class,Consumer,Central,OFF-AP-10002518,177.98,5,0.80%,-453.849
CA-2014-139892,Standard Class,Consumer,Central,TEC-PH-10003931,143.976,3,0.20%,8.9985
CA-2014-118962,Standard Class,Consumer,West,OFF-PA-10000659,20.94,3,0%,9.8418
CA-2014-118962,Standard Class,Consumer,West,OFF-PA-10001144,110.96,2,0%,53.2608
CA-2014-118962,Standard Class,Consumer,West,FUR-CH-10003817,340.144,7,0.20%,21.259
US-2014-100853,Standard Class,Corporate,Central,OFF-AP-10000891,52.448,2,0.80%,-131.12
US-2014-100853,Standard Class,Corporate,Central,OFF-LA-10003148,20.16,4,0.20%,6.552
US-2017-152366,Second Class,Consumer,Central,OFF-AP-10002684,97.264,4,0.80%,-243.16
US-2015-101511,Second Class,Consumer,East,FUR-CH-10004698,396.802,7,0.30%,-11.3372
US-2015-101511,Second Class,Consumer,East,OFF-SU-10002189,15.88,5,0.20%,-3.7715
CA-2015-137225,Standard Class,Home Office,East,OFF-AR-10001940,3.28,1,0%,1.4104
CA-2014-166191,Second Class,Corporate,Central,OFF-ST-10003455,24.816,2,0.20%,1.8612
CA-2014-166191,Second Class,Corporate,Central,TEC-AC-10004659,408.744,7,0.20%,76.6395
CA-2014-158274,Second Class,Home Office,South,TEC-PH-10003273,503.96,4,0%,131.0296
CA-2014-158274,Second Class,Home Office,South,TEC-PH-10004896,149.95,5,0%,41.986
CA-2014-158274,Second Class,Home Office,South,TEC-AC-10002345,29,2,0%,7.25
CA-2016-105018,Standard Class,Consumer,East,OFF-BI-10001890,7.16,2,0%,3.4368
CA-2014-123260,Standard Class,Home Office,West,TEC-AC-10002323,176.8,8,0%,22.984
CA-2016-157000,Standard Class,Corporate,Central,OFF-ST-10001328,37.224,3,0.20%,3.7224
CA-2016-157000,Standard Class,Corporate,Central,OFF-PA-10001950,20.016,3,0.20%,6.255
CA-2015-102281,First Class,Home Office,East,FUR-BO-10002613,899.136,4,0.20%,112.392
CA-2015-102281,First Class,Home Office,East,TEC-PH-10001552,71.76,6,0%,20.0928
CA-2015-102281,First Class,Home Office,East,OFF-PA-10000061,51.84,8,0%,24.8832
CA-2015-102281,First Class,Home Office,East,FUR-BO-10002545,626.352,3,0.20%,46.9764
CA-2015-102281,First Class,Home Office,East,OFF-AR-10003514,19.9,5,0%,6.567
CA-2015-131457,Standard Class,Corporate,West,OFF-EN-10001509,14.28,7,0%,6.7116
CA-2014-140004,Standard Class,Consumer,East,OFF-AR-10004685,7.408,2,0.20%,1.2038
CA-2014-140004,Standard Class,Consumer,East,OFF-AR-10004027,6.048,3,0.20%,1.5876
CA-2017-107720,Standard Class,Home Office,East,OFF-ST-10001414,46.26,3,0%,12.0276
US-2017-124303,Standard Class,Corporate,East,OFF-BI-10000343,2.946,2,0.70%,-2.2586
US-2017-124303,Standard Class,Corporate,East,OFF-PA-10002749,16.056,3,0.20%,5.8203
CA-2017-105074,Standard Class,Consumer,East,OFF-PA-10002666,21.744,3,0.20%,6.795
CA-2014-133690,First Class,Consumer,West,FUR-TA-10004289,218.75,2,0.50%,-161.875
CA-2014-133690,First Class,Consumer,West,OFF-AP-10003622,2.6,1,0.20%,0.2925
US-2017-116701,Second Class,Consumer,Central,OFF-AP-10003217,66.284,2,0.80%,-178.9668
CA-2017-126382,Standard Class,Corporate,South,FUR-FU-10002960,35.168,7,0.20%,9.6712
CA-2017-108329,Standard Class,Consumer,West,TEC-PH-10001918,444.768,4,0.20%,44.4768
CA-2017-135860,Standard Class,Consumer,Central,OFF-ST-10000642,83.92,4,0%,5.8744
CA-2017-135860,Standard Class,Consumer,Central,TEC-PH-10001700,131.98,2,0%,35.6346
CA-2017-135860,Standard Class,Consumer,Central,OFF-BI-10003274,15.92,4,0%,7.4824
CA-2017-135860,Standard Class,Consumer,Central,OFF-FA-10000134,52.29,9,0%,16.2099
CA-2017-135860,Standard Class,Consumer,Central,OFF-ST-10001522,91.99,1,0%,3.6796
CA-2015-101007,Second Class,Corporate,Central,TEC-AC-10001266,20.8,2,0.20%,6.5
CA-2015-146262,Standard Class,Corporate,East,OFF-LA-10004544,23.68,2,0.20%,8.88
CA-2015-146262,Standard Class,Corporate,East,FUR-BO-10004695,452.45,5,0.50%,-244.323
CA-2015-146262,Standard Class,Corporate,East,TEC-PH-10002844,62.982,3,0.40%,-14.6958
CA-2015-146262,Standard Class,Corporate,East,TEC-MA-10000864,1188,9,0.70%,-950.4
CA-2015-146262,Standard Class,Corporate,East,TEC-AC-10000109,89.584,2,0.20%,4.4792
CA-2016-130162,Standard Class,Consumer,West,OFF-ST-10001328,93.06,6,0%,26.0568
CA-2016-130162,Standard Class,Consumer,West,TEC-PH-10002563,302.376,3,0.20%,22.6782
CA-2015-169397,First Class,Consumer,East,OFF-FA-10000585,5.584,2,0.20%,1.8148
CA-2015-169397,First Class,Consumer,East,OFF-PA-10004000,22.704,6,0.20%,8.2302
CA-2015-169397,First Class,Consumer,East,OFF-BI-10002852,19.776,4,0.70%,-13.8432
CA-2015-169397,First Class,Consumer,East,FUR-FU-10000087,72.704,4,0.20%,19.0848
CA-2015-169397,First Class,Consumer,East,TEC-MA-10001148,479.988,4,0.70%,-383.9904
CA-2015-169397,First Class,Consumer,East,OFF-AR-10001958,27.168,2,0.20%,2.7168
CA-2015-163055,Standard Class,Corporate,Central,OFF-AR-10001026,2.2,1,0%,0.968
CA-2015-163055,Standard Class,Corporate,Central,FUR-TA-10003748,622.45,5,0%,136.939
CA-2015-163055,Standard Class,Corporate,Central,OFF-ST-10002485,21.98,1,0%,0.2198
US-2015-145436,Standard Class,Consumer,South,FUR-CH-10004860,161.568,2,0.20%,-28.2744
US-2015-145436,Standard Class,Consumer,South,FUR-CH-10004477,389.696,8,0.20%,43.8408
US-2014-156216,Standard Class,Corporate,South,OFF-BI-10001679,18.648,7,0.70%,-12.432
US-2017-100930,Standard Class,Home Office,South,FUR-TA-10001705,233.86,2,0.45%,-102.048
US-2017-100930,Standard Class,Home Office,South,FUR-TA-10003473,620.6145,3,0.45%,-248.2458
US-2017-100930,Standard Class,Home Office,South,OFF-BI-10001679,5.328,2,0.70%,-3.552
US-2017-100930,Standard Class,Home Office,South,FUR-FU-10004017,258.072,3,0.20%,0
US-2017-100930,Standard Class,Home Office,South,TEC-AC-10003832,617.976,3,0.20%,-7.7247
CA-2017-160514,Standard Class,Corporate,West,OFF-PA-10002479,10.56,2,0%,4.752
CA-2016-157749,Second Class,Consumer,Central,OFF-PA-10003349,25.92,5,0.20%,9.396
CA-2016-157749,Second Class,Consumer,Central,FUR-FU-10000576,419.68,5,0.60%,-356.728
CA-2016-157749,Second Class,Consumer,Central,FUR-FU-10004351,11.688,3,0.60%,-4.6752
CA-2016-157749,Second Class,Consumer,Central,TEC-PH-10000011,31.984,2,0.20%,11.1944
CA-2016-157749,Second Class,Consumer,Central,FUR-TA-10002607,177.225,5,0.50%,-120.513
CA-2016-157749,Second Class,Consumer,Central,FUR-FU-10002505,4.044,3,0.60%,-2.8308
CA-2016-157749,Second Class,Consumer,Central,OFF-AR-10004685,7.408,2,0.20%,1.2038
CA-2014-131926,Second Class,Home Office,Central,FUR-CH-10004063,2001.86,7,0%,580.5394
CA-2014-131926,Second Class,Home Office,Central,OFF-ST-10002276,166.72,2,0%,41.68
CA-2014-131926,Second Class,Home Office,Central,OFF-PA-10004082,47.88,6,0%,23.94
CA-2014-131926,Second Class,Home Office,Central,OFF-AP-10002945,1503.25,5,0%,496.0725
CA-2014-131926,Second Class,Home Office,Central,OFF-PA-10000061,25.92,4,0%,12.4416
CA-2016-154739,Second Class,Consumer,West,FUR-CH-10002965,321.568,2,0.20%,28.1372
CA-2016-145625,Standard Class,Consumer,West,OFF-PA-10004569,7.61,1,0%,3.5767
CA-2016-145625,Standard Class,Consumer,West,TEC-AC-10003832,3347.37,13,0%,636.0003
CA-2016-146941,First Class,Consumer,East,OFF-ST-10001228,80.58,6,0%,22.5624
CA-2016-146941,First Class,Consumer,East,OFF-EN-10003296,361.92,4,0%,162.864
US-2015-159982,Standard Class,Corporate,Central,FUR-FU-10002505,12.132,9,0.60%,-8.4924
US-2015-159982,Standard Class,Corporate,Central,OFF-ST-10004804,82.368,2,0.20%,-19.5624
US-2015-159982,Standard Class,Corporate,Central,OFF-ST-10001590,53.92,5,0.20%,4.044
US-2015-159982,Standard Class,Corporate,Central,TEC-PH-10001580,647.904,6,0.20%,56.6916
CA-2017-163139,Second Class,Consumer,East,TEC-AC-10000290,20.37,3,0%,6.9258
CA-2017-163139,Second Class,Consumer,East,OFF-ST-10002790,221.55,3,0%,6.6465
CA-2017-163139,Second Class,Consumer,East,OFF-BI-10003460,17.52,5,0.20%,6.132
US-2017-155299,Standard Class,Corporate,Central,OFF-AP-10002203,1.624,2,0.80%,-4.466
US-2014-106992,Second Class,Corporate,Central,TEC-MA-10000822,3059.982,3,0.40%,-509.997
US-2014-106992,Second Class,Corporate,Central,TEC-MA-10003353,2519.958,7,0.40%,-251.9958
CA-2016-125318,Standard Class,Consumer,Central,TEC-PH-10001433,328.224,4,0.20%,28.7196
CA-2015-155040,Standard Class,Consumer,West,TEC-AC-10004469,79.9,2,0%,35.156
CA-2017-136826,Standard Class,Corporate,South,OFF-AR-10003602,14.016,3,0.20%,4.7304
CA-2016-111010,Standard Class,Consumer,East,OFF-FA-10003472,7.56,6,0%,0.3024
US-2017-145366,Standard Class,Corporate,East,OFF-ST-10004180,37.208,1,0.20%,-7.4416
US-2017-145366,Standard Class,Corporate,East,OFF-EN-10004386,57.576,3,0.20%,21.591
CA-2017-163979,Second Class,Corporate,West,OFF-ST-10003208,725.84,4,0%,210.4936
CA-2015-155334,First Class,Consumer,West,TEC-AC-10003628,209.93,7,0%,92.3692
CA-2015-155334,First Class,Consumer,West,FUR-FU-10003274,5.28,3,0%,2.3232
CA-2015-155334,First Class,Consumer,West,OFF-BI-10002557,10.92,3,0.20%,4.095
CA-2017-118136,First Class,Corporate,West,OFF-PA-10002615,8.82,2,0%,4.0572
CA-2017-118136,First Class,Corporate,West,OFF-AR-10001427,5.98,1,0%,1.5548
CA-2017-132976,Standard Class,Corporate,East,OFF-PA-10000673,11.648,2,0.20%,4.0768
CA-2017-132976,Standard Class,Corporate,East,OFF-PA-10004470,18.176,4,0.20%,5.9072
CA-2017-132976,Standard Class,Corporate,East,OFF-ST-10000876,59.712,6,0.20%,5.9712
CA-2017-132976,Standard Class,Corporate,East,OFF-LA-10002043,24.84,3,0.20%,8.694
US-2015-161991,Second Class,Consumer,Central,OFF-BI-10004967,2.08,5,0.80%,-3.432
US-2015-161991,Second Class,Consumer,Central,TEC-PH-10001760,1114.4,7,0.20%,376.11
CA-2015-130890,Standard Class,Consumer,West,FUR-TA-10002903,1038.84,5,0.20%,51.942
CA-2015-130883,Standard Class,Consumer,West,OFF-PA-10000474,141.76,5,0.20%,47.844
CA-2015-130883,Standard Class,Consumer,West,TEC-AC-10001956,239.8,5,0.20%,47.96
CA-2015-130883,Standard Class,Consumer,West,OFF-PA-10004100,31.104,6,0.20%,10.8864
CA-2016-112697,Second Class,Corporate,South,OFF-BI-10000778,254.058,7,0.70%,-169.372
CA-2016-112697,Second Class,Corporate,South,OFF-AP-10002684,194.528,2,0.20%,24.316
CA-2016-112697,Second Class,Corporate,South,OFF-SU-10000646,961.48,5,0.20%,-204.3145
CA-2016-110772,Second Class,Home Office,East,OFF-FA-10002983,19.096,7,0.20%,6.6836
CA-2016-110772,Second Class,Home Office,East,OFF-LA-10004689,18.496,8,0.20%,6.2424
CA-2016-110772,Second Class,Home Office,East,TEC-AC-10002001,255.984,2,0.20%,54.3966
