Month,SilverPrice,GoldPrice
Sep-07,521.56,28748.42
Oct-07,542.19,29816.8
Nov-07,578.66,31798.42
Dec-07,564.48,31678.33
Jan-08,632.29,35025.78
Feb-08,701.87,36642.46
Mar-08,775.49,39082.77
Apr-08,700.96,36416
May-08,718.2,37435.38
Jun-08,729.63,38087.88
Jul-08,773.8,40256.56
Aug-08,625.97,36026.85
Sep-08,555.58,37815.02
Oct-08,507.2,39235.79
Nov-08,483.55,37284.82
Dec-08,501.82,39696.27
Jan-09,556.73,41938.42
Feb-09,661.39,46416.55
Mar-09,672.41,47387.48
Apr-09,626.9,44573.36
May-09,684.92,45070.86
Jun-09,700.33,45178.09
Jul-09,649.34,45317.28
Aug-09,697.27,45872.8
Sep-09,798.5,48273.82
Oct-09,806.59,48737.49
Nov-09,832.51,52484.94
Dec-09,822.77,52912.18
Jan-10,815.23,51344.51
Feb-10,735.29,50745.87
Mar-10,780.5,50654.61
Apr-10,808.47,51115.41
May-10,843.7,55173.35
Jun-10,859.34,57410.36
Jul-10,841.85,55916.83
Aug-10,856.25,56616.02
Sep-10,946.05,58511.77
Oct-10,1039.07,59609.35
Nov-10,1191.08,61476.45
Dec-10,1324.57,62809.82
Jan-11,1293.84,61743.4
Feb-11,1399.04,62486.08
Mar-11,1611.23,64031.82
Apr-11,1895.06,65730.36
May-11,1676.2,67907.28
Jun-11,1605.47,68594.58
Jul-11,1684.1,69854.13
Aug-11,1826.14,79645.34
Sep-11,1821.03,84580.51
Oct-11,1574.44,82055.02
Nov-11,1676.94,88150.88
Dec-11,1595.18,86328.88
Jan-12,1570.17,84732.63
Feb-12,1678.47,85781.78
Mar-12,1658.3,84338.83
Apr-12,1633.13,85434.05
May-12,1560.54,86343.66
Jun-12,1567.92,89578.52
Jul-12,1523.19,88525.34
Aug-12,1600.13,90579.25
Sep-12,1833.63,95194.24
Oct-12,1757.55,92496.06
Nov-12,1793.35,94207.98
Dec-12,1740.87,92015.41
Jan-13,1687.06,90803.41
Feb-13,1629.97,87471.13
Mar-13,1565.88,86644.52
Apr-13,1378.7,80903.29
May-13,1267.87,77818.64
Jun-13,1231.26,78355.69
Jul-13,1178.27,76847.39
Aug-13,1383.89,85442.04
Sep-13,1437.07,85891.21
Oct-13,1350.77,81142.34
Nov-13,1301.68,80007.36
Dec-13,1218.52,75670.26
Jan-14,1234.87,77312.91
Feb-14,1298.32,80943.59
Mar-14,1262.99,81456.73
Apr-14,1191.2,78370.05
May-14,1147.81,76477.43
Jun-14,1187.8,76378.35
Jul-14,1256.71,78718.95
Aug-14,1201.83,78867.16
Sep-14,1118.37,75285.57
Oct-14,1052.92,74997.34
Nov-14,984.74,72491.16
Dec-14,1021.88,75291.99
Jan-15,1070.97,77715.8
Feb-15,1041.26,76113.23
Mar-15,1014.19,73605.25
Apr-15,1025.45,75236.65
May-15,1074.12,76484.8
Jun-15,1026.56,75451.46
Jul-15,958.06,71812.23
Aug-15,972.25,72746.31
Sep-15,976.67,74476.64
Oct-15,1029.04,75438.75
Nov-15,954.56,71759.82
Dec-15,938,71140.66
Jan-16,949.24,73882.06
Feb-16,1035.04,81857.57
Mar-16,1037.05,83496.73
Apr-16,1087.44,82572.44
May-16,1133.52,84340.04
Jun-16,1163.03,85878.28
Jul-16,1343.8,89845.32
Aug-16,1311.11,89707.71
Sep-16,1291.92,88540.4
Oct-16,1178,84533.34
Nov-16,1175.45,83622.54
Dec-16,1115.72,78583.48
Jan-17,1151.15,81191.05
Feb-17,1203.35,82818.17
Mar-17,1162.15,81169.45
